Index,Date,Open,High,Low,Close*,Adj,Close**
NIKKEI,01/09/2015,18763.72,18777.47,16901.49,17388.15,17388.15,
NIKKEI,01/08/2015,20540.21,20946.93,17714.3,18890.48,18890.48,
NIKKEI,01/07/2015,20291.05,20850,19115.2,20585.24,20585.24,
NIKKEI,01/06/2015,20444.54,20952.71,19990.55,20235.73,20235.73,
NIKKEI,01/05/2015,19510.85,20655.33,19257.85,20563.15,20563.15,
NIKKEI,01/04/2015,19129.75,20252.12,18927.95,19520.01,19520.01,
NIKKEI,01/03/2015,18869.4,19778.6,18577.06,19206.99,19206.99,
NIKKEI,01/02/2015,17536.61,18865.39,17271.87,18797.94,18797.94,
NIKKEI,01/01/2015,17702.12,17850.59,16592.57,17674.39,17674.39,
NIKKEI,01/12/2014,17475.1,18030.83,16672.94,17450.77,17450.77,
NIKKEI,01/11/2014,16732.85,17520.54,16713.37,17459.85,17459.85,
NIKKEI,01/10/2014,16173.39,16533.91,14529.03,16413.76,16413.76,
NIKKEI,01/09/2014,15454.59,16374.14,15440.99,16173.52,16173.52,
NIKKEI,01/08/2014,15511.54,15628.78,14753.84,15424.59,15424.59,
NIKKEI,01/07/2014,15179.64,15759.66,15101.49,15620.77,15620.77,
NIKKEI,01/06/2014,14777.51,15442.67,14777.51,15162.1,15162.1,
NIKKEI,01/05/2014,14341.09,14744.16,13964.43,14632.38,14632.38,
NIKKEI,01/04/2014,14870.51,15164.39,13885.11,14304.11,14304.11,
NIKKEI,01/03/2014,14666.93,15312.6,14203.21,14827.83,14827.83,
NIKKEI,01/02/2014,14788.56,15094.54,13995.86,14841.07,14841.07,
NIKKEI,01/01/2014,16147.54,16164.01,14764.57,14914.53,14914.53,
NIKKEI,01/12/2013,15659.74,16320.22,15112.54,16291.31,16291.31,
NIKKEI,01/11/2013,14403.07,15729.09,14026.17,15661.87,15661.87,
NIKKEI,01/10/2013,14517.98,14799.28,13748.94,14327.94,14327.94,
NIKKEI,01/09/2013,13438.07,14817.5,13407.53,14455.8,14455.8,
NIKKEI,01/08/2013,13674.5,14466.16,13188.14,13388.86,13388.86,
NIKKEI,01/07/2013,13746.72,14953.29,13562.7,13668.32,13668.32,
NIKKEI,01/06/2013,13551.36,13724.44,12415.85,13677.32,13677.32,
NIKKEI,01/05/2013,13837.72,15942.6,13555.66,13774.54,13774.54,
NIKKEI,01/04/2013,12371.34,13983.87,11805.78,13860.86,13860.86,
NIKKEI,01/03/2013,11464.71,12650.26,11464.71,12397.91,12397.91,
NIKKEI,01/02/2013,11193.72,11662.52,11046.92,11559.36,11559.36,
NIKKEI,01/01/2013,10604.5,11145.38,10398.61,11138.66,11138.66,
NIKKEI,01/12/2012,9484.2,10433.63,9376.97,10395.18,10395.18,
NIKKEI,01/11/2012,8931.71,9492.91,8619.45,9446.01,9446.01,
NIKKEI,01/10/2012,8815.07,9075.59,8488.14,8928.29,8928.29,
NIKKEI,01/09/2012,8836.61,9288.53,8646.03,8870.16,8870.16,
NIKKEI,01/08/2012,8622.04,9222.87,8513.2,8839.91,8839.91,
NIKKEI,01/07/2012,9103.79,9136.02,8328.02,8695.06,8695.06,
NIKKEI,01/06/2012,8465.47,9044.04,8238.96,9006.78,9006.78,
NIKKEI,01/05/2012,9471.66,9472.25,8455.13,8542.73,8542.73,
NIKKEI,01/04/2012,10161.72,10190.35,9388.14,9520.89,9520.89,
NIKKEI,01/03/2012,9771.34,10255.15,9509.1,10083.56,10083.56,
NIKKEI,01/02/2012,8789.06,9866.41,8780.1,9723.24,9723.24,
NIKKEI,01/01/2012,8549.54,8911.62,8349.33,8802.51,8802.51,
NIKKEI,01/12/2011,8581.2,8729.81,8272.26,8455.35,8455.35,
NIKKEI,01/11/2011,8880.75,8946,8135.79,8434.61,8434.61,
NIKKEI,01/10/2011,8567.98,9152.39,8343.01,8988.39,8988.39,
NIKKEI,01/09/2011,9017.01,9098.15,8359.7,8700.29,8700.29,
NIKKEI,01/08/2011,9907.04,10040.13,8619.21,8955.2,8955.2,
NIKKEI,01/07/2011,9878.69,10207.91,9824.34,9833.03,9833.03,
NIKKEI,01/06/2011,9708.05,9849.69,9318.62,9816.09,9816.09,
NIKKEI,01/05/2011,9964.39,10017.47,9406.04,9693.73,9693.73,
NIKKEI,01/04/2011,9757.28,9849.74,9405.19,9849.74,9849.74,
NIKKEI,01/03/2011,10676.24,10768.43,8227.63,9755.1,9755.1,
NIKKEI,01/02/2011,10281.55,10891.6,10245.75,10624.09,10624.09,
NIKKEI,01/01/2011,10352.19,10620.57,10182.57,10237.92,10237.92,
NIKKEI,01/12/2010,9939.8,10394.22,9918.55,10228.92,10228.92,
